timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:52:42.9,100.00 %,457.76 W,13.10 %,34.08 W,NVIDIA RTX A6000,1,34.07 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:42.9,100.00 %,457.76 W,13.10 %,34.08 W,NVIDIA RTX A6000,2,8.15 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:42.9,100.00 %,457.76 W,13.10 %,34.08 W,NVIDIA RTX A6000,3,8.24 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:47.9,100.00 %,456.54 W,13.10 %,31.43 W,NVIDIA RTX A6000,0,54.15 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:47.9,100.00 %,456.54 W,13.10 %,31.43 W,NVIDIA RTX A6000,1,34.06 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:47.9,100.00 %,456.54 W,13.10 %,31.43 W,NVIDIA RTX A6000,2,9.12 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:47.9,100.00 %,456.54 W,13.10 %,31.43 W,NVIDIA RTX A6000,3,8.95 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:52.9,100.00 %,437.25 W,13.10 %,33.58 W,NVIDIA RTX A6000,0,54.11 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:52.9,100.00 %,437.25 W,13.10 %,33.58 W,NVIDIA RTX A6000,1,34.07 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:52.9,100.00 %,437.25 W,13.10 %,33.58 W,NVIDIA RTX A6000,2,7.87 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:52.9,100.00 %,437.25 W,13.10 %,33.58 W,NVIDIA RTX A6000,3,8.09 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:57.9,100.00 %,425.25 W,13.10 %,35.13 W,NVIDIA RTX A6000,0,54.32 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:57.9,100.00 %,425.25 W,13.10 %,35.13 W,NVIDIA RTX A6000,1,33.96 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:57.9,100.00 %,425.25 W,13.10 %,35.13 W,NVIDIA RTX A6000,2,8.75 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:57.9,100.00 %,425.25 W,13.10 %,35.13 W,NVIDIA RTX A6000,3,8.44 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:03.0,100.00 %,639.89 W,13.10 %,39.63 W,NVIDIA RTX A6000,0,54.25 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:03.0,100.00 %,639.89 W,13.10 %,39.63 W,NVIDIA RTX A6000,1,33.92 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:03.0,100.00 %,639.89 W,13.10 %,39.63 W,NVIDIA RTX A6000,2,8.08 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:03.0,100.00 %,639.89 W,13.10 %,39.63 W,NVIDIA RTX A6000,3,8.32 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:08.0,100.00 %,435.38 W,13.10 %,38.02 W,NVIDIA RTX A6000,0,54.09 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:08.0,100.00 %,435.38 W,13.10 %,38.02 W,NVIDIA RTX A6000,1,33.96 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:08.0,100.00 %,435.38 W,13.10 %,38.02 W,NVIDIA RTX A6000,2,9.06 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
